start_min,range_min,window_min,sl_mode,sl_mult,tp_r,trend_filter,buffer_mult,direction,min_range_atr,max_range_atr,min_range_pct,max_range_pct,max_bars,symbol,train_trades,train_ret,train_dd,train_pf,train_wr,val_trades,val_ret,val_dd,val_pf,val_wr,all_trades,all_ret,all_dd,all_pf,all_wr,score
810,15,240,range,0.75,1.5,with,0.0,short,0.35,3.5,0,0.025,48,XAUUSD,94,13.39161020818247,6.576612739599136,1.2803615119955725,47.87234042553192,43,24.272071952032313,2.970099999999997,2.380423092545583,62.7906976744186,137,40.91410342548058,6.576612739599136,1.5587246933195487,52.55474452554745,210.62589642159978
810,15,120,range,1.0,1.5,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,89,5.84848347868514,9.797041292861813,1.1416668645902017,46.06741573033708,38,23.836633910550443,2.9701000000000066,2.727910655119279,65.78947368421053,127,31.079198985368862,9.797041292861813,1.4926467368865453,51.96850393700787,210.41657016779203
420,30,240,range,1.25,1.5,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,427,8.531579936327315,19.465934410862907,1.0521324187168801,45.19906323185012,225,51.015528025832026,9.805932442067888,1.435583239040354,49.77777777777778,652,63.8995385156226,19.465934410862907,1.1767766714508943,46.77914110429448,208.78537593869302
420,30,120,range,0.75,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,419,8.126459567826716,23.266207483876077,1.0453275559988668,41.288782816229116,222,53.05538864755941,9.123167192740297,1.4015622295481138,48.64864864864865,641,65.49337292238329,23.266207483876077,1.1576988774962556,43.8377535101404,208.03506773026473
810,30,240,range,0.75,2.0,with,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,180,25.51600646386074,15.622339932091808,1.2687924511987956,42.22222222222222,100,34.32112586473166,6.8767670225311575,1.6052647507933975,48.0,280,68.5945130227072,15.622339932091808,1.3895324626010492,44.285714285714285,207.6386998491593
810,15,120,range,1.25,1.5,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,89,5.9772496957301025,9.832253167051146,1.1511990437254553,47.19101123595505,38,22.121349935139722,2.970100000000012,2.758687366425413,65.78947368421053,127,29.420847952559328,9.832253167051146,1.497510146619941,52.75590551181102,207.42239156090199
810,30,240,range,0.75,2.0,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,370,42.52735003403518,10.822501720134643,1.1979085795584936,42.16216216216216,206,32.2113704436086,12.634224049426063,1.258946594747389,41.74757281553398,576,88.43736273695686,12.634224049426102,1.2206268820494872,42.01388888888889,205.5153566011343
810,30,120,range,1.0,2.0,with,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,168,15.398871790343227,12.266772724382498,1.1987166201360495,43.452380952380956,92,36.135179292406214,4.026250694405671,1.739018362947813,51.08695652173913,260,57.098461013197756,12.266772724382498,1.3907295916169518,46.15384615384615,205.07202431829816
810,30,120,range,0.75,2.0,with,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,168,13.47800570653419,14.762234580716305,1.157700917544609,40.476190476190474,92,38.157133516677135,4.026250694405701,1.74829091951412,50.0,260,56.777959856039,14.762234580716305,1.3546668523394103,43.84615384615385,204.5525670506359
810,30,120,range,0.75,1.0,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,75,5.080237584094105,4.94853500354542,1.1601473170993803,53.333333333333336,30,14.766282552092381,1.9900000000000018,2.986993500258637,76.66666666666667,105,20.596682372171383,4.94853500354542,1.4786623899855913,60.0,202.16177455718122
420,30,120,range,1.25,1.5,none,0.0,both,0.35,3.5,0,0.025,48,XAUUSD,422,4.438624020120252,20.6560930156284,1.0332093049192137,44.78672985781991,222,51.8046846791365,8.894881254614063,1.4498677573500396,50.0,644,58.542723876972545,20.6560930156284,1.1672172873345148,46.58385093167702,202.14441634160954
810,30,120,range,0.75,2.0,none,0.0,long,0.35,3.5,0,0.025,48,XAUUSD,253,40.73314779089403,10.254512155389657,1.283450032471685,43.873517786561266,144,28.837238646862605,7.780517946653911,1.3404738702980272,43.05555555555556,397,81.31670147459593,10.254512155389657,1.3051225135661817,43.57682619647355,202.11189838421745
810,15,120,range,0.75,2.0,none,0.0,short,0.35,3.5,0,0.025,48,XAUUSD,327,65.20861681536458,11.686238248109309,1.2896949183858855,41.896024464831804,168,21.360182887896183,13.232767851063333,1.2090274119136257,39.285714285714285,495,100.49747951369005,13.232767851063379,1.2611946111376442,41.01010101010101,199.9277092606678
420,30,240,range,0.75,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,426,5.9351389124309595,24.033545409037306,1.0362067407602498,41.07981220657277,225,52.25973020967503,9.123167192740297,1.3899467757078339,48.44444444444444,651,61.296556705311914,24.033545409037306,1.1475845603144905,43.625192012288785,198.87469552387535
810,30,120,range,1.0,1.5,none,0.05,both,0.35,3.5,0,0.025,48,XAUUSD,364,35.4922841683855,10.717659940089968,1.205089609358586,48.07692307692308,199,31.7379918412934,7.277999380410457,1.2966990635640916,48.24120603015075,563,78.49481426332969,10.717659940089968,1.240052503884127,48.13499111900533,196.7532312082321
810,15,120,range,0.75,2.0,with,0.05,short,0.35,3.5,0,0.025,48,XAUUSD,89,1.178221083116937,12.21634844203458,1.0367443609423135,38.20224719101123,38,27.130792613517187,2.970099999999999,2.5874961398501193,57.89473684210527,127,28.628674415223365,12.21634844203458,1.3853151376153912,44.09448818897638,196.08282651721072
